,text,_score,_pvalue
1178,nghiệm,5.409429280397023,0.02002826298853181
53,agribankresort,5.409429280397023,0.02002826298853181
112,bufet,5.409429280397023,0.02002826298853181
1799,trình_bày,5.409429280397023,0.02002826298853181
2220,đặc_sắc,5.409429280397023,0.02002826298853181
1337,nếm,5.409429280397023,0.02002826298853181
1374,phong_cách,5.26641061414663,0.021740796639666816
2284,ấn_tượng,5.26641061414663,0.021740796639666816
668,hoa,5.176146788990825,0.02289905149774595
1983,vườn,5.176146788990825,0.02289905149774595
1902,tạo,5.176146788990825,0.02289905149774595
351,chọn,5.1181736175928245,0.023676522999218283
1663,thích_hợp,4.9087678421016685,0.026720695900992138
1952,view,4.827171627589099,0.028014552819543025
219,bố_trí,4.8064220183486235,0.028353857376490755
1060,menu,4.792388887624163,0.028585754115872337
1687,thất_vọng,4.792388887624163,0.028585754115872337
1900,tạm_được,4.792388887624163,0.028585754115872337
1144,mọi_người,4.792388887624163,0.028585754115872337
331,chấp_nhận,4.7570083932958696,0.029179221865470024
1647,thua,4.6780391331072,0.03055060180519098
698,hàng_ngày,4.6780391331072,0.03055060180519098
777,hợp,4.6780391331072,0.03055060180519098
562,em_bé,4.6780391331072,0.03055060180519098
1871,tính_tiền,4.6780391331072,0.03055060180519098
1325,nước_ngoài,4.6780391331072,0.03055060180519098
305,chê,4.6780391331072,0.03055060180519098
1199,ngoại_trừ,4.6780391331072,0.03055060180519098
1711,thức_uống,4.6780391331072,0.03055060180519098
1264,nhàm_chán,4.6780391331072,0.03055060180519098
1147,mỗi_lần,4.6780391331072,0.03055060180519098
1517,rộng,4.555638262372105,0.03281053245582942
409,cây_xanh,4.436697247706421,0.03517423048272655
806,khu,4.395726318665057,0.03602911003347338
205,bể_bơi,4.323081570939665,0.03759877435032301
1402,phòng_ngủ,4.197509630877491,0.04048339015790785
265,check,4.197509630877491,0.04048339015790785
697,hài_lòng,4.125318855281085,0.0422460587616568
1729,tivi,4.066972477064219,0.04372958494737242
1235,nhanh,4.066972477064219,0.04372958494737242
1739,tiếp_tân,4.066972477064219,0.04372958494737242
2300,ở_đây,3.8946443840838008,0.04844029326954146
158,bé,3.7259402594708897,0.05357345674803079
1969,vui_vẻ,3.709835768751644,0.054092713130962096
2160,đãng,3.6972477064220177,0.0545023015979699
1524,sang_trọng,3.690740558797909,0.05471531764836447
284,chudu24,3.5776712189852153,0.05856119278120504
223,bồn_tắm,3.49329925216837,0.0616176689327978
881,kiến_trúc,3.3275229357798164,0.06812941011148221
291,chuẩn_bị,3.228993882707999,0.07234512261448905
474,cẩn_thận,3.228993882707999,0.07234512261448905
127,buổi_sáng,3.228993882707999,0.07234512261448905
773,hội,3.228993882707999,0.07234512261448905
1445,quay_lại,3.228993882707999,0.07234512261448905
334,chất_lượng,3.1040779492219315,0.07809644161148138
1535,spa,2.9991759307740358,0.08330688005455363
